cantidad_solicitada,modelo,prompt_id,id,producto,categoria,resena,sentimiento,largo_palabras,archivo_origen
10,llama3.2:1b,prompt_1_electronicos,1,Sony A7R IV,Cámara,Una de las mejores cámaras DSLR en su precio.,POSITIVO,9,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,2,Apple AirPods Pro,Dispositivo de audio,Amplias bocas de sonido y una buena calidad de reproducción.,POSITIVO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,3,LG OLED C9 Smart TV,Teléfono inteligente,"Excelente pantalla por encima y bajo, con un diseño elegante.",NEGATIVO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,4,HP Envy x360 Laptop,Laptop,Baja precio para una buena calidad de producto y servicio.,NEUTRO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,5,Samsung Q90 R/AQ80,Refrigerador,Excelente rendimiento energético y una buena calidad de productos.,NEGATIVO,9,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,6,Microsoft Surface Laptop 3,Laptop,Baja precio para una excelente experiencia de usuario.,NEUTRO,8,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,7,Sony WH1000XM4,Dispositivo de audio,Amplias bocas de sonido y una buena calidad de reproducción.,POSITIVO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,8,Dell XPS Tower Desktop,Desktop,Muy asequible con una excelente experiencia de usuario.,NEGATIVO,8,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,9,Sony PlayStation 5,Juego,Una de las mejores consolas de juegos en su precio.,POSITIVO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,10,Lenovo ThinkPad X1 Carbon,Tableta portátil,Baja precio para una excelente experiencia de usuario y rendimiento.,NEUTRO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_2_belleza,1,Luz de barba sintética,Higiene personal y cuidado del cabello,Me encanta porque hace que mi barba sea más brillante y saludable.,NEGATIVO,12,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,2,Cera para el cuerpo suave,Higiene corporal y cuidado personal,Me gusta porque es perfecta para mi piel y me hace sentir relajada.,NEUTRO,13,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,3,Lavanda aromaterapéutica,Descanso y relajación,Me encanta porque ayuda a reducir el estrés y mejorar la calidad del sueño.,NEGATIVO,14,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,4,Bálsamo facial hidratante,Cuidado personal facial,Me gusta porque es perfecto para mi piel y me hace sentir con la brasa.,NEGATIVO,15,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,5,Lavas de baño naturales,Higiene personal y cuidado del cuerpo,"Me encanta porque es natural y fresca, y me hace sentir relajada.",NEGATIVO,12,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,6,Canelazo para el pelo,Cuidado personal del cabello,Me gusta porque es rico en antioxidantes y me hace sentir más saludable.,NEUTRO,13,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,7,Luz de barba crema,Higiene personal y cuidado del cabello,"Me encanta porque hace que mi barba sea más brillante y saludable, y es muy fácil de aplicar.",NEGATIVO,18,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,8,Cera para el cuerpo con aceite de argan,Higiene corporal y cuidado personal,"Me gusta porque es perfecta para mi piel y me hace sentir relajada, y tiene propiedades antioxidantes.",NEUTRO,17,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,9,Lavanda aromaterapéutica con aceite de bergamota,Descanso y relajación,"Me encanta porque ayuda a reducir el estrés y mejorar la calidad del sueño, y tiene propiedades antiinflamatorias.",NEGATIVO,18,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,llama3.2:1b,prompt_2_belleza,10,Bálsamo facial hidratante con hierba chamomila,Cuidado personal facial,"Me gusta porque es perfecto para mi piel y me hace sentir con la brasa, y tiene propiedades antioxidantes.",NEGATIVO,19,results/llama3.2_1b_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_1_electronicos,1,Fonosurround X6,audio,"Sistema de sonido inalámbrico de alta calidad, facil de instalar y con excelente calidad de sonido.",POSITIVO,16,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,2,Smartwatch Samsung Galaxy,electrodomésticos,Dispositivo de moda y funcionalidad. Tiene una interfaz fácil de usar y se siente cómodo en el brazo.,POSITIVO,18,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,3,Drone DJI Mavic,electrónica,Excelente dron de gran calidad con una cámara de alta definición y facilidad de uso.,POSITIVO,15,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,4,Portátil Lenovo,informática,Computadora portátil rápida y de diseño moderno. Pantalla brillante y teclado cómodo.,POSITIVO,12,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,5,Lavadora LG,electrodomésticos,Lavadora de gran capacidad y de lavado potente. Se siente solido y es fácil de utilizar.,POSITIVO,16,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,6,Celular iPhone 12,teléfonos móviles,Dispositivo de última generación con una cámara de alta calidad y diseño elegante.,POSITIVO,13,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,7,Auriculares Bose,audio,Auriculares de alta calidad y confortables. Son ideal para escuchar música en cualquier lugar.,POSITIVO,14,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,8,Impresora HP,impresoras,Impresora rápida y de alta calidad. Imprime documentos con gran precisión.,POSITIVO,11,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,9,Camara GoPro,electrónica,Cámara resistente y de alta calidad. Ideal para grabar videos en cualquier lugar.,POSITIVO,13,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_1_electronicos,10,Vacuum Dyson,electrodomésticos,Aspiradora potente y de diseño moderno. Limpia pisos en pocos minutos.,POSITIVO,11,results/mistral_latest_prompt_1_electronicos_10gen.txt
10,mistral:latest,prompt_2_belleza,1,Nivea Crème,Crema corporal,"Una clásica, muy húmeda y rica. Ideal para proteger la piel durante el invierno.",POSITIVO,14,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,2,Palmer's Cocoa Butter,Crema corporal,Muy nutritiva y suave. Mantiene la piel tenera durante todo el año.,POSITIVO,12,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,3,Neutrogena Hydro Boost,Crema facial,Aguas frescas y crema húmeda. Mejora la apariencia de mi piel.,POSITIVO,11,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,4,Maybelline Super Stay,Maquillaje facial,Me encanta su duración. Muy fácil de aplicar y no se mancha.,POSITIVO,12,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,5,TRESemmé Shampoo,Shampoo,Limpia el cabello y le da brillo. Mejora la textura.,POSITIVO,10,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,6,Dove Antiperspirante,Antiperspirante,Bajo precio y efectivo. Muy suave en la piel.,POSITIVO,9,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,7,Clinique Mascara,Maquillaje ojos,Muy volumetrica y duradera. Mejora la apariencia de mis pestañas.,POSITIVO,10,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,8,Elizabeth Arden Toner,Tonificador,Me siente refrescante y se absorbe rápidamente.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,9,L'Oréal Serum,Serum facial,Mejora la apariencia de mi piel pero toma un tiempo para absorberse.,NEUTRO,12,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_2_belleza,10,Olay Antienvejecimiento,Crema facial,No me ha tenido mucha influencia en mi apariencia. Es un poco pesada.,NEGATIVO,13,results/mistral_latest_prompt_2_belleza_10gen.txt
10,mistral:latest,prompt_3_hogar,1,Sarten Teflon,Cocina,Muy facil de limpiar y resiste el desgaste.,POSITIVO,8,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,2,Lavadora LG,Hogar,Toma mucho tiempo en lavar y secar.,NEGATIVO,7,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,3,Sillon IKEA,Hogar,"Comfortable y elegante, perfecto para la casa.",POSITIVO,7,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,4,Maquina de café Keurig,Cocina,Prepara café rápido y delicioso.,POSITIVO,5,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,5,Sarten de Acero Inoxidable,Cocina,Lento para calentarse pero duradero.,NEUTRO,5,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,6,Vacuum Dyson,Hogar,Elimina el polvo con gran eficiencia.,POSITIVO,6,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,7,Sarten de Barro,Cocina,Cocina bien pero se rompe fácil.,NEGATIVO,6,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,8,Mesa de Cocina IKEA,Hogar,Elegante y adecuada para la cocina.,POSITIVO,6,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,9,Forno Convection,Cocina,Requiere mucha atención y es lento.,NEGATIVO,6,results/mistral_latest_prompt_3_hogar_10gen.txt
10,mistral:latest,prompt_3_hogar,10,Microondas Panasonic,Cocina,Rápido y fácil de utilizar.,POSITIVO,5,results/mistral_latest_prompt_3_hogar_10gen.txt
20,llama3.2:1b,prompt_1_electronicos,1,Samsung TV,Electrónica,Me encantó la calidad de la pantalla y el diseño. Fue una compra excelente.,NEGATIVO,14,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,2,Sony Headphones,Electrónica,"Esto es genial, las altavoces son increíbles. Fue una compra excelente.",NEGATIVO,11,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,3,LG Refrigerador,Electrónica,Es muy rápido y el refrigerado es perfecto. Una gran elección.,POSITIVO,11,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,4,HP Laptop,Computadoras,Me encantó la relación calidad-precio y la confiabilidad. Fue una compra excelente.,NEGATIVO,12,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,5,Samsung Limpieza de neveras,Electrónica,Era muy eficiente y limpió mi nevera de manera rápida. Una gran elección.,POSITIVO,13,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,6,Panasonic TV,Electrónica,Me encantó la calidad de la imagen y el diseño. Fue una compra excelente.,NEGATIVO,14,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,7,Sony Caja de aluminio,Electrónica,Era muy buena calidad y durabilidad. Una gran elección.,POSITIVO,9,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,8,LG Ventilador,Eletronicos,Me encantó la eficiencia energética y el diseño. Fue una compra excelente.,NEGATIVO,12,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,9,Samsung Proyector,Eletronicos,Me encantó la calidad de imagen y el diseño. Fue una compra excelente.,NEGATIVO,13,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,10,Panasonic TV,Electrónica,Era muy buena calidad y durabilidad. Una gran elección.,POSITIVO,9,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,11,Sony Caja de almacenamiento externo,Eletronicos,Era muy buena calidad y durabilidad. Una gran elección.,NEGATIVO,9,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,12,LG Limpieza de electrodomésticos,Eletronicos,Me encantó la eficiencia y el diseño. Fue una compra excelente.,NEGATIVO,11,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,13,Samsung Proyector,Eletronicos,Me encantó la calidad de imagen y el diseño. Fue una compra excelente.,NEGATIVO,13,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,14,Panasonic TV,Electrónica,Era muy buena calidad y durabilidad. Una gran elección.,POSITIVO,9,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,15,Sony Caja de almacenamiento externo,Eletronicos,Era muy buena calidad y durabilidad. Una gran elección.,NEGATIVO,9,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,16,LG Ventilador,Eletronicos,Me encantó la eficiencia energética y el diseño. Fue una compra excelente.,NEGATIVO,12,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,17,Samsung Proyector,Eletronicos,Me encantó la calidad de imagen y el diseño. Fue una compra excelente.,NEGATIVO,13,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,18,Panasonic TV,Electrónica,Era muy buena calidad y durabilidad. Una gran elección.,POSITIVO,9,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,19,Sony Caja de almacenamiento externo,Eletronicos,Era muy buena calidad y durabilidad. Una gran elección.,NEGATIVO,9,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_1_electronicos,20,LG Limpieza de electrodomésticos,Eletronicos,Me encantó la eficiencia y el diseño. Fue una compra excelente.,NEGATIVO,11,results/llama3.2_1b_prompt_1_electronicos_20gen.txt
20,llama3.2:1b,prompt_3_hogar,1,Fogonete electrico de cocina,electrico,Me encanta el fogonete electrico de cocina que me ha ayudado a cocinar con facilidad y ahorrar energía. El modelo es muy adecuado para mi tamaño de cocina., positively ,28,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,2,Sopas en hielo,sacos,"Me gusta los sopas en hielo, es una excelente opción para una cena ligera y nutritiva. La calidad del sabor es excelente.", positivo ,22,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,3,Cerámica para servir,ceramica,"La cerámica es muy buena para servir, no se deforma fácilmente y tiene un buen color. Me encanta el estilo y la calidad.", positivo ,23,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,4,Lavadora inalámbrica,inalámbrico,"Me encanta la lavadora inalámbrica, es rápida y eficiente. La pantalla de display es muy útil para ver qué se está haciendo durante el ciclo.", positivo ,25,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,5,Sistema de cocineta,cocineta,"Me gusta el sistema de cocineta, es muy intuitivo y fácil de usar. La calidad del material es excelente.", positivo ,19,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,6,Papas arrugadas,salsas,Las papas arrugadas son una excelente opción para un plato ligero y delicioso. La calidad del sabor es excelente., positivo ,19,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,7,Mantel de TV,manteles,"Me encanta el mantel de TV, es muy elegante y tiene un buen ajuste. La calidad del material es excelente.", positivo ,20,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,8,Lámpara LED,lápiz,"Me gusta la lámpara LED, es muy segura y tiene un buen brillo. La calidad del material es excelente.", positivo ,19,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,9,Libros de cocina,libros,"Me encanta los libros de cocina, son una excelente opción para aprender a cocinar. La calidad del contenido es excelente.", positivo ,20,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,10,Cafetera,cafeteras,"Me gusta la cafetera, es muy fácil de usar y tiene un buen sabor. La calidad del material es excelente.", positivo ,20,results/llama3.2_1b_prompt_3_hogar_20gen.txt
20,llama3.2:1b,prompt_3_hogar,11,Piñones frescos,frutas,"Me encanta los piñones frescos, son una excelente opción para un snack ligero y delicioso. La calidad del sabor es excelente.", positivo ,21,results/llama3.2_1b_prompt_3_hogar_20gen.txt
